"","ID","Name","Group","nodeDegree"
"1","0","hsa-miR-15b-5p","miRNA",45
"2","1","hsa-miR-16-5p","miRNA",1109
"3","2","hsa-miR-17-5p","miRNA",87
"4","3","hsa-miR-192-5p","miRNA",73
"5","4","hsa-miR-20a-5p","miRNA",77
"6","5","hsa-miR-20b-5p","miRNA",63
"7","6","hsa-miR-34a-5p","miRNA",48
"8","7","hsa-miR-193b-5p","miRNA",18
"9","8","hsa-miR-21-5p","miRNA",32
"10","9","hsa-miR-132-3p","miRNA",25
"11","10","hsa-miR-155-5p","miRNA",66
"12","11","hsa-miR-378a-5p","miRNA",25
"13","12","hsa-miR-92a-3p","miRNA",87
"14","13","hsa-miR-19a-3p","miRNA",26
"15","14","hsa-miR-19b-3p","miRNA",35
"16","15","hsa-miR-30e-5p","miRNA",12
"17","16","hsa-miR-101-3p","miRNA",21
"18","17","hsa-miR-146b-5p","miRNA",9
"19","18","hsa-miR-4516","miRNA",13
"20","19","hsa-miR-148a-3p","miRNA",12
"21","20","hsa-miR-30e-3p","miRNA",15
"22","21","hsa-miR-3679-5p","miRNA",3
"23","22","hsa-miR-455-5p","miRNA",4
"24","23","hsa-miR-455-3p","miRNA",29
"25","24","hsa-miR-17-3p","miRNA",9
"26","25","hsa-miR-505-3p","miRNA",13
"27","26","hsa-miR-4286","miRNA",5
"28","27","hsa-miR-211-3p","miRNA",8
"29","28","hsa-miR-378a-3p","miRNA",10
"30","29","hsa-miR-34b-5p","miRNA",5
"31","30","hsa-miR-4306","miRNA",11
"32","31","hsa-miR-4739","miRNA",12
"33","32","hsa-miR-126-5p","miRNA",6
"34","33","hsa-miR-3907","miRNA",2
"35","34","hsa-miR-5100","miRNA",7
"36","35","hsa-miR-378d","miRNA",3
"37","36","hsa-miR-378i","miRNA",3
"38","37","10009","mRNA",6
"39","38","100133941","mRNA",1
"40","39","10020","mRNA",2
"41","40","100506658","mRNA",1
"42","41","100533952","mRNA",1
"43","42","10094","mRNA",1
"44","43","10109","mRNA",4
"45","44","10112","mRNA",2
"46","45","10129","mRNA",1
"47","46","10154","mRNA",2
"48","47","10184","mRNA",2
"49","48","102","mRNA",2
"50","49","1026","mRNA",10
"51","50","1027","mRNA",7
"52","51","10272","mRNA",1
"53","52","10299","mRNA",5
"54","53","10301","mRNA",1
"55","54","1031","mRNA",1
"56","55","1033","mRNA",2
"57","56","10383","mRNA",4
"58","57","10456","mRNA",1
"59","58","10572","mRNA",2
"60","59","10576","mRNA",1
"61","60","10577","mRNA",1
"62","61","10627","mRNA",1
"63","62","10672","mRNA",2
"64","63","1072","mRNA",1
"65","64","10797","mRNA",5
"66","65","1080","mRNA",2
"67","66","10841","mRNA",1
"68","67","10950","mRNA",3
"69","68","10962","mRNA",1
"70","69","11019","mRNA",4
"71","70","11031","mRNA",1
"72","71","11065","mRNA",3
"73","72","11098","mRNA",1
"74","73","1111","mRNA",6
"75","74","11123","mRNA",3
"76","75","11130","mRNA",1
"77","76","11212","mRNA",4
"78","77","11213","mRNA",1
"79","78","11217","mRNA",3
"80","79","11226","mRNA",1
"81","80","112817","mRNA",1
"82","81","113235","mRNA",2
"83","82","114783","mRNA",1
"84","83","114793","mRNA",4
"85","84","115207","mRNA",1
"86","85","115273","mRNA",3
"87","86","116150","mRNA",2
"88","87","116236","mRNA",5
"89","88","116540","mRNA",1
"90","89","118472","mRNA",1
"91","90","1192","mRNA",2
"92","91","119504","mRNA",2
"93","92","1211","mRNA",2
"94","93","124599","mRNA",1
"95","94","126","mRNA",1
"96","95","127829","mRNA",3
"97","96","1281","mRNA",1
"98","97","1284","mRNA",3
"99","98","131118","mRNA",2
"100","99","134147","mRNA",2
"101","100","136","mRNA",1
"102","101","139818","mRNA",2
"103","102","1409","mRNA",1
"104","103","143384","mRNA",3
"105","104","143689","mRNA",1
"106","105","144983","mRNA",2
"107","106","150465","mRNA",2
"108","107","1509","mRNA",1
"109","108","151","mRNA",3
"110","109","151887","mRNA",6
"111","110","1520","mRNA",3
"112","111","152007","mRNA",1
"113","112","153364","mRNA",1
"114","113","1535","mRNA",1
"115","114","1555","mRNA",1
"116","115","1571","mRNA",1
"117","116","1579","mRNA",1
"118","117","158055","mRNA",1
"119","118","1581","mRNA",1
"120","119","1613","mRNA",1
"121","120","1616","mRNA",1
"122","121","161742","mRNA",8
"123","122","1836","mRNA",3
"124","123","1847","mRNA",1
"125","124","1870","mRNA",5
"126","125","1871","mRNA",9
"127","126","1891","mRNA",1
"128","127","1969","mRNA",4
"129","128","197257","mRNA",3
"130","129","1979","mRNA",2
"131","130","2020","mRNA",3
"132","131","202018","mRNA",1
"133","132","2036","mRNA",1
"134","133","2037","mRNA",3
"135","134","210","mRNA",1
"136","135","2146","mRNA",1
"137","136","2150","mRNA",3
"138","137","2176","mRNA",2
"139","138","2177","mRNA",1
"140","139","2184","mRNA",1
"141","140","221079","mRNA",2
"142","141","221400","mRNA",1
"143","142","222223","mRNA",1
"144","143","223","mRNA",10
"145","144","226","mRNA",2
"146","145","22808","mRNA",1
"147","146","22837","mRNA",2
"148","147","229","mRNA",1
"149","148","22998","mRNA",3
"150","149","23087","mRNA",2
"151","150","231","mRNA",1
"152","151","23136","mRNA",1
"153","152","23189","mRNA",2
"154","153","23195","mRNA",3
"155","154","23231","mRNA",1
"156","155","23433","mRNA",1
"157","156","23498","mRNA",2
"158","157","23597","mRNA",4
"159","158","24145","mRNA",2
"160","159","24147","mRNA",3
"161","160","2533","mRNA",1
"162","161","2535","mRNA",1
"163","162","2538","mRNA",1
"164","163","254102","mRNA",1
"165","164","256987","mRNA",1
"166","165","25786","mRNA",1
"167","166","25822","mRNA",2
"168","167","25825","mRNA",3
"169","168","25828","mRNA",1
"170","169","25902","mRNA",1
"171","170","25932","mRNA",8
"172","171","25941","mRNA",2
"173","172","25943","mRNA",1
"174","173","25994","mRNA",2
"175","174","26002","mRNA",1
"176","175","26071","mRNA",1
"177","176","26136","mRNA",3
"178","177","26147","mRNA",4
"179","178","26148","mRNA",1
"180","179","26227","mRNA",1
"181","180","2628","mRNA",2
"182","181","26355","mRNA",1
"183","182","2639","mRNA",1
"184","183","26577","mRNA",1
"185","184","2664","mRNA",1
"186","185","2697","mRNA",1
"187","186","27087","mRNA",1
"188","187","2710","mRNA",1
"189","188","27113","mRNA",1
"190","189","2717","mRNA",1
"191","190","27180","mRNA",1
"192","191","27242","mRNA",4
"193","192","2729","mRNA",2
"194","193","27338","mRNA",4
"195","194","27350","mRNA",2
"196","195","2746","mRNA",1
"197","196","2760","mRNA",2
"198","197","2764","mRNA",4
"199","198","2799","mRNA",5
"200","199","2806","mRNA",3
"201","200","2810","mRNA",1
"202","201","2820","mRNA",1
"203","202","28232","mRNA",4
"204","203","283431","mRNA",1
"205","204","284541","mRNA",1
"206","205","285016","mRNA",1
"207","206","285513","mRNA",3
"208","207","2878","mRNA",1
"209","208","28962","mRNA",4
"210","209","28978","mRNA",1
"211","210","28982","mRNA",2
"212","211","29108","mRNA",2
"213","212","29127","mRNA",8
"214","213","29128","mRNA",2
"215","214","2936","mRNA",1
"216","215","2950","mRNA",1
"217","216","29893","mRNA",1
"218","217","2992","mRNA",1
"219","218","29958","mRNA",1
"220","219","29967","mRNA",3
"221","220","29968","mRNA",4
"222","221","29974","mRNA",4
"223","222","30","mRNA",1
"224","223","3017","mRNA",5
"225","224","302","mRNA",2
"226","225","3033","mRNA",1
"227","226","307","mRNA",1
"228","227","30817","mRNA",1
"229","228","30851","mRNA",1
"230","229","3091","mRNA",5
"231","230","311","mRNA",1
"232","231","3135","mRNA",1
"233","232","3161","mRNA",1
"234","233","332","mRNA",3
"235","234","338328","mRNA",1
"236","235","338382","mRNA",1
"237","236","3400","mRNA",2
"238","237","3455","mRNA",5
"239","238","35","mRNA",1
"240","239","3570","mRNA",3
"241","240","36","mRNA",5
"242","241","3614","mRNA",3
"243","242","3627","mRNA",1
"244","243","3655","mRNA",2
"245","244","3667","mRNA",1
"246","245","367","mRNA",1
"247","246","3685","mRNA",1
"248","247","3690","mRNA",1
"249","248","3693","mRNA",1
"250","249","3696","mRNA",4
"251","250","3702","mRNA",1
"252","251","3712","mRNA",1
"253","252","3779","mRNA",4
"254","253","3782","mRNA",4
"255","254","3812","mRNA",1
"256","255","3831","mRNA",1
"257","256","3838","mRNA",8
"258","257","388115","mRNA",1
"259","258","389","mRNA",4
"260","259","3903","mRNA",1
"261","260","3983","mRNA",2
"262","261","3984","mRNA",3
"263","262","399","mRNA",2
"264","263","3995","mRNA",1
"265","264","3998","mRNA",1
"266","265","400916","mRNA",1
"267","266","401494","mRNA",3
"268","267","4016","mRNA",1
"269","268","4023","mRNA",1
"270","269","4037","mRNA",1
"271","270","4040","mRNA",1
"272","271","4070","mRNA",1
"273","272","4172","mRNA",3
"274","273","4173","mRNA",1
"275","274","4175","mRNA",2
"276","275","4192","mRNA",1
"277","276","427","mRNA",1
"278","277","4316","mRNA",3
"279","278","4478","mRNA",1
"280","279","4542","mRNA",3
"281","280","4594","mRNA",1
"282","281","4644","mRNA",3
"283","282","4651","mRNA",1
"284","283","47","mRNA",1
"285","284","476","mRNA",1
"286","285","483","mRNA",3
"287","286","4893","mRNA",3
"288","287","4908","mRNA",1
"289","288","4982","mRNA",1
"290","289","5049","mRNA",4
"291","290","50515","mRNA",1
"292","291","51155","mRNA",2
"293","292","51185","mRNA",1
"294","293","51274","mRNA",3
"295","294","51279","mRNA",1
"296","295","51280","mRNA",1
"297","296","51284","mRNA",3
"298","297","5130","mRNA",2
"299","298","51320","mRNA",1
"300","299","51330","mRNA",3
"301","300","51340","mRNA",1
"302","301","51393","mRNA",2
"303","302","51430","mRNA",4
"304","303","5144","mRNA",3
"305","304","51449","mRNA",1
"306","305","51493","mRNA",1
"307","306","51514","mRNA",2
"308","307","51557","mRNA",7
"309","308","5166","mRNA",1
"310","309","51665","mRNA",4
"311","310","51762","mRNA",5
"312","311","5205","mRNA",1
"313","312","5214","mRNA",4
"314","313","5251","mRNA",1
"315","314","5270","mRNA",2
"316","315","5315","mRNA",2
"317","316","53340","mRNA",3
"318","317","53354","mRNA",3
"319","318","5361","mRNA",4
"320","319","537","mRNA",2
"321","320","54332","mRNA",1
"322","321","5445","mRNA",2
"323","322","54662","mRNA",3
"324","323","547","mRNA",2
"325","324","54751","mRNA",3
"326","325","5476","mRNA",3
"327","326","54820","mRNA",2
"328","327","54836","mRNA",2
"329","328","54852","mRNA",1
"330","329","54863","mRNA",2
"331","330","54978","mRNA",4
"332","331","54994","mRNA",1
"333","332","54996","mRNA",1
"334","333","55132","mRNA",1
"335","334","55143","mRNA",1
"336","335","55179","mRNA",1
"337","336","55222","mRNA",1
"338","337","55250","mRNA",2
"339","338","55329","mRNA",1
"340","339","55355","mRNA",1
"341","340","55366","mRNA",1
"342","341","5538","mRNA",2
"343","342","554251","mRNA",5
"344","343","55437","mRNA",2
"345","344","55532","mRNA",1
"346","345","55700","mRNA",1
"347","346","55734","mRNA",2
"348","347","55858","mRNA",1
"349","348","55920","mRNA",6
"350","349","5594","mRNA",9
"351","350","5604","mRNA",2
"352","351","56259","mRNA",2
"353","352","5654","mRNA",2
"354","353","56882","mRNA",2
"355","354","56925","mRNA",1
"356","355","56937","mRNA",1
"357","356","56938","mRNA",2
"358","357","57016","mRNA",2
"359","358","5738","mRNA",4
"360","359","57552","mRNA",1
"361","360","57657","mRNA",1
"362","361","580","mRNA",1
"363","362","5813","mRNA",6
"364","363","58508","mRNA",1
"365","364","58516","mRNA",1
"366","365","58527","mRNA",1
"367","366","58528","mRNA",6
"368","367","586","mRNA",4
"369","368","5860","mRNA",2
"370","369","5912","mRNA",1
"371","370","5934","mRNA",4
"372","371","59345","mRNA",2
"373","372","596","mRNA",9
"374","373","5965","mRNA",2
"375","374","598","mRNA",1
"376","375","6035","mRNA",1
"377","376","60681","mRNA",1
"378","377","6144","mRNA",3
"379","378","6282","mRNA",1
"380","379","6364","mRNA",1
"381","380","63924","mRNA",1
"382","381","64092","mRNA",1
"383","382","64423","mRNA",1
"384","383","644815","mRNA",2
"385","384","64710","mRNA",8
"386","385","64747","mRNA",1
"387","386","64769","mRNA",1
"388","387","64834","mRNA",4
"389","388","64859","mRNA",3
"390","389","64866","mRNA",1
"391","390","64902","mRNA",1
"392","391","6506","mRNA",2
"393","392","6529","mRNA",1
"394","393","6535","mRNA",3
"395","394","6542","mRNA",2
"396","395","6558","mRNA",1
"397","396","6560","mRNA",2
"398","397","6566","mRNA",2
"399","398","6567","mRNA",1
"400","399","65979","mRNA",1
"401","400","65993","mRNA",1
"402","401","6615","mRNA",2
"403","402","6646","mRNA",1
"404","403","6688","mRNA",2
"405","404","6712","mRNA",1
"406","405","6767","mRNA",1
"407","406","6809","mRNA",1
"408","407","6844","mRNA",1
"409","408","6856","mRNA",3
"410","409","6927","mRNA",1
"411","410","6993","mRNA",1
"412","411","7045","mRNA",2
"413","412","7056","mRNA",1
"414","413","7058","mRNA",1
"415","414","7082","mRNA",2
"416","415","7114","mRNA",1
"417","416","7127","mRNA",3
"418","417","7159","mRNA",1
"419","418","7162","mRNA",3
"420","419","7168","mRNA",3
"421","420","7170","mRNA",5
"422","421","7171","mRNA",4
"423","422","7262","mRNA",2
"424","423","7274","mRNA",1
"425","424","7280","mRNA",5
"426","425","728294","mRNA",1
"427","426","7298","mRNA",1
"428","427","7345","mRNA",1
"429","428","7351","mRNA",1
"430","429","7431","mRNA",4
"431","430","7533","mRNA",4
"432","431","7586","mRNA",1
"433","432","7752","mRNA",2
"434","433","7791","mRNA",1
"435","434","7855","mRNA",2
"436","435","78990","mRNA",1
"437","436","7915","mRNA",2
"438","437","7923","mRNA",1
"439","438","79627","mRNA",1
"440","439","79710","mRNA",1
"441","440","79726","mRNA",1
"442","441","7975","mRNA",2
"443","442","79814","mRNA",4
"444","443","79817","mRNA",1
"445","444","79862","mRNA",2
"446","445","79874","mRNA",1
"447","446","79993","mRNA",1
"448","447","80196","mRNA",3
"449","448","80223","mRNA",5
"450","449","80821","mRNA",4
"451","450","81559","mRNA",1
"452","451","81603","mRNA",4
"453","452","81624","mRNA",1
"454","453","81631","mRNA",2
"455","454","81671","mRNA",3
"456","455","8208","mRNA",2
"457","456","822","mRNA",1
"458","457","824","mRNA",1
"459","458","8323","mRNA",8
"460","459","83549","mRNA",1
"461","460","8372","mRNA",1
"462","461","83737","mRNA",3
"463","462","84064","mRNA",1
"464","463","8407","mRNA",1
"465","464","84163","mRNA",3
"466","465","84270","mRNA",1
"467","466","84275","mRNA",5
"468","467","8428","mRNA",1
"469","468","8458","mRNA",3
"470","469","84650","mRNA",1
"471","470","8467","mRNA",2
"472","471","847","mRNA",1
"473","472","84790","mRNA",2
"474","473","84818","mRNA",1
"475","474","84886","mRNA",1
"476","475","84971","mRNA",1
"477","476","8503","mRNA",2
"478","477","8531","mRNA",3
"479","478","8555","mRNA",3
"480","479","8605","mRNA",1
"481","480","863","mRNA",2
"482","481","864","mRNA",4
"483","482","865","mRNA",2
"484","483","8673","mRNA",2
"485","484","875","mRNA",1
"486","485","87769","mRNA",1
"487","486","8826","mRNA",2
"488","487","8870","mRNA",3
"489","488","8878","mRNA",5
"490","489","8898","mRNA",1
"491","490","890","mRNA",4
"492","491","8985","mRNA",1
"493","492","9019","mRNA",2
"494","493","9055","mRNA",2
"495","494","9120","mRNA",1
"496","495","9123","mRNA",1
"497","496","9168","mRNA",1
"498","497","9232","mRNA",1
"499","498","9240","mRNA",1
"500","499","92675","mRNA",1
"501","500","949","mRNA",1
"502","501","9538","mRNA",1
"503","502","9550","mRNA",1
"504","503","9555","mRNA",1
"505","504","9595","mRNA",2
"506","505","9646","mRNA",3
"507","506","966","mRNA",1
"508","507","968","mRNA",1
"509","508","983","mRNA",3
"510","509","9833","mRNA",4
"511","510","9837","mRNA",2
"512","511","9859","mRNA",6
"513","512","9902","mRNA",1
"514","513","9929","mRNA",2
"515","514","9945","mRNA",3
"516","515","9957","mRNA",4
"517","516","9973","mRNA",1
"518","517","9989","mRNA",1
"519","518","9991","mRNA",1
